,0
0,"رسائل
The Lost Symbol
وهذهال زیاد
بچہ ابوزقبل
زنانه ٢٠٤
حبسوا حسدی
ولكن روحي لم يستطع أحد
أن يسجنها، روحی حرة طليقة لا يكفيها
حن ولا سجود، ولا يستطيع حبها أي
نجاب ولم يخلقہ الطاعية الذي يقدر
أن يحبس روحي إلى الآن ..
لذا .. لم و لله اياس أبدا --"
1,"تقديم
في مايو 2014 أصدر مركز النديم للعلاج والتأهيل النفسي لضحايا العنف كتيبا يحمل بعضا من رسائل
المعتقلين يمكن الإطلاع عليه كاملا على الرابط التالي http://bit.ly/1vID2ww باللغة العربية وعلى
الرابط التالي http://bit.ly/1rgcvmg باللغة الإنجليزية.
وحيث ان الاعتقالات لم تتوقف وحيث انها لا زالت حدثا يوميا لا يتوقف وحيث أن في المعتقلات من
أمضى أكثر من عامين وراء القضبان وفي بعض الأحيان بدون تهمة أو محاكمة ومع ذلك لازال يكتب من
وراء القضبان أحيانا ليعبر عن الألم والشعور بالظلم، وأحيانا لينقل بعضا من أحوال السجون وفي
أحيان أخرى ليبث الأمل فيمن هم خارج الزنازين، فإننا ننشرهنا بعض تلك الرسائل إيمانا منا بأنها
تتجاوز كونها وسيلة تواصل المعتقلين والمعتقلات بالعالم الخارجي وإنما تشكل جزءا هاما من أدبيات
التأريخ لثورة يناير المجيدة التي كنا شاهدين عليها يوم اندلعت ونری تاریخها يزور ويحرف الآن بأيدي
من هم في السلطة أو من يرغبون في التقرب منها.
هذه الرسائل تشهد وتؤرخ لما كان يحدث في البلاد في فترة هي الأسوأ في تاريخ مصر الحديث من حيث
انتهاكات حقوق الانسان.
وللاطلاع على مزيد من الرسائل يمكن الاطلاع على رابط http://bit.ly/1resbfl حيث جمع الباحث
الحقوقي أحمد عاطف 624 رسالة من أدب السجون منذ يوم 25 يناير 2011 إلى 30 أكتوبر 2014"
2,"16 مارس
رسالة احمد الوليد الشال من سجن طره
ها قتلاش شد واستمالة تعمل كنه ..اهنا شوفنا اود أيام حياتنا
العساكر والباط فلمونا هم وسار علم است ايدينا وكهروان كل مكان
نی شناسی و موراتا و فضلا متخمين ثلات امام و متكلب خلی
وهي ما يحتاج الحمام ستلف الوضع ده
کا ملازم تقول الكلام اللي ما عاوزن والاكما عانوت أركناهانتهى
الموت إلى ما أنساه كل يوم وكل الكلام اللي قولما كان مكتوب
على عرف متعلق على مشب ادامناوکان ورم نقوله والدهارجعوانای
راولعلم والمعلومات اللي مالك المرض بيت معلم
جسے امنا وفتاه بهاره عسکری علان مالوش دعوة فاجہ
ما قتلناش حد واستحالة نعمل كده.. إحنا شوفنا أسود أيام حياتنا.. العساكر والضباط قلعونا هدومنا
وعلقونا من ايدينا وكهربونا في كل مكان في جسمنا حتى في عورا
راتنا وفضلنا متغميين تلات أيام ومتكلبشين
خلفي وحتى لما بنحتاج الحمام بندخل في الوضع ده.
كله لازم يقول الكلام اللي هما عاوزينه وإلا كنا هنموت أوكنا هانتمنى الموت زي ما أتمنيناه كل يوم وكل
الكلام اللي قولناه كان مكتوب على ورق متعلق على خشب أدامنا وكان لازم نقوله وإلا هايرجعوا تاني يبدأوا
معانا من الأول ومعلش اللي جايبلكم الورقة دي يا ريت تدوله 100 جنيه احنا وعدناه بيها ده عسكري
غلبان مالوش دعوة بحاجة.
***
15 مايو
رسائل من داخل سجن العزولي الحربي
""ابتداءا من دخولي السجن لحظة التشريفة وطبعا مش أي تشريفة ، عدد من عساكر الجيس بدأوا ضرب
لا يتوقف ، اللي مسؤول 3 عساكر يدعوا ( علي الدرديري ، أحمد جاد ، بهاء ؟؟؟) مع عدم وجود دورة مياه
بالزنزانة ، في الفجر يخرج 50 فرد من الزنزانة للحمام واللي يلحق عشان أخرك 5 دقايق انت و50 شخص.
كنت قبل ما ادخل الحمام بدعي في كل صلاة إني ادخل الحمام، وطبعًا بالليل والنهار يدخل عليك الشاويش
وقتها لازم يكون وشك للحيط ، وعادي انه يدخل ويضرب فينا في أي وقت. والأكل كل واحد رغيف مع
حاجات غريبة اساسا مش بتكفي حاجة وكده كده مش كلنا بناكل عشان الحمام. وطبعا أول ما تخرج من
الزنزانة بتكون متغمي مع الضرب من كل اللي تقابله من حيوانات ، ولو حد تعب تيجي تنادي عليه يتم
التعدي عليك بالسب ويقولك لما يموت نادي علينا. وفعلا على حد قول الراوي مات ناس كتير هناك أخرهم
كان الحاج شتيوي 75 سنة مات من التعذيب، وكان نفسه قبل ما يموت إنه يدخل الحمام والحمد لله انه"
3,"استريح. مش بتحسب انت اتعذبت هناك في اليوم إلا كم ساعة أوكمان لو شاويش له مزاج ويمسك حد
يبقى نهاره اسود وهنا رفض الرواي تكملة ما حدث من شدة ما رآه من أهوال .
في أعد العمليه متر بالر مولانا رضا
مشاد تری در مرا
المال
وات
نی انارش
داریم
عمره الترم امام و
دن
ولا مولا امام زمان های امید به ودمار شاه و کتابتول ان
در مواره اله الا الله يرفضوا وتتماشار ۲۴۰ ۲۱ اس کی اشی
لميول وامل المراسم وهي زنزان رضا المربع واضرات مهولة
عمر القفلی م
مة والمعابات مگر
م تریا ارتا هم گرم
ie
ه قند
بر
شور است
م بلید ملاتع الزمة والله
عاليات المجمع المهر ماه سال عمر .
تاحا للفع
التمور المارد عنان من
د
کل
الله
ارماند
ت
مع نرم اوره مد
ه استعلت الشباك ومنها المسارده عطيتهم إن أترط مان معلمون معاهد
وای پر رفوعا ما ما ما در دو طرف معه الى الدور الأرض
اسات والب اكتب استان در ما مات لا توصف وصد المعرض الكس
ے کے نتر ته میتوان به امامت تود أنواب
امر امه مر مر ستة ملك
يوم الاماره
الالام
نت لا تصف العمل القول أن
اهتمامات
اسالي الحرب الع
نمان
وامدا من الارد
ه مع رات
تم همه مال العرب
ای
ستمرا مقدر
عاد مرة مع مره
ات زبر نامی
ما الستينات ابنه الا
تبولة التسيس موت (ماه
انباری و بیمار
سولة - المسلم التمينات ف لند)
الرائعة
الت ارتان
در استان
الأساتوس
ولونيا الجيل الأول
ار (هنر) لم
ش از ما دون الم و عمل القارة
الخل معارك مار المنال الشرما (من قامونه ای گیری اور
والرس یک متر المره ولرم شال بت توست
""في البداية اخذتني قوة ملثمة من بيتي إلى قوات أمن ما ثم إلى العازولي حيث كنت متغميا وتم تكتيفي
أمامي وفضلوا موقفني في الحوش وكل اللي رايح وجاي من العساكر يضرب فيا، وبعد كده دخلت مكتب
القائد بالدور الأول وقايل انت هنا في جيش يا ابن .. ومش في شرطة، وابتدت التشريفة أكثر من
عسكري كانوا بيضربوا فيا بالحزام والبيادة وكمان الكهربا ، وفضلت كده حوالي ربع ساعة وأخر لما زهقت
شلت الغماية وشفت ضابط جيش والعساكر اللي كانت بتعذبني ( علي الدرديري ، أحمد جاد ، الشاويش
محمد) بعد كده طلعوني على زنزانة انفرادي في الدور التاني رقم 7 ونزلوا عليا ضرب التلات عساكر اللي
طلعوا معايا الزنزانة بالحزام والعصا، وبعد حوالي ساعة نادوا اسمي عشان التحقيق وركبت عربية جيش
وانا متغمي ومربوط خلفي ، رحنا على مكان يدعى ش مكان التحقيق أو بمعنى اصح مكان التعذيب والموت ،
ومفيش حركة إلا بالضرب وسب الدين واتحقق معايا اكثر من 5 ساعات في ش، طبعا كله شتيمة وسب
دین وضرب وكهربا ، أما عن دورة المياه بننزل 25 فرد للحمام 5 دقايق غير الاهانة والضرب وانت نازل وانت
طالع ، موقف حصلي كنت بكلم واحد عاوز منه بطانية لقيت العسكري (بهاء) نازل عليا ضرب انا
اکتر
من عشر دقايق بالعصا ، وبعد حوالي 15 يوم من الانفرادي اتنقلت لزنزانة كبيرة في المربع ، ضرب كل يوم
وفي يوم من الأيام كان الحاج شتيوي من العريش معانا في الزنزانة ، عمره أكثر من 70 عام وكان اتعذب في
العريش وضهره کله تعذيب ، وكان بيقولنا ان فيه ضابط نصراني هو اللي كان بيعذبه وحرقله دقنه ، وكنا
بنقول للعساكر عشان يدخلوه الحمام وكانوا الظلمة يرفضوا ، وتقريبا بتاريخ 2014/3/25 الساعة 3
عصرا استشهد الحاج شتيوي داخل الزنزانة وهي زنزانة رقم 11 في المربع واخدوا جثته الى جهة مجهولة"".
وهو
""العساكر اللي هناك شرطة عسكرية والضباط مخابرات عسكرية ، بتخرج من سجن العازولي وسط
عساكر الشرطة العسكرية في عربية جيش تقريبا عشر دقايق توصل (أوسخ) مكان في مصر وانت مغمي
العينين بس حاسس بكل اللي حواليك ، مبنى مش كبير دورين تقريبا تحس ان معظمه خشب والسلم
بتاعه خشب والدور الاول مكان التحقيق والتعذيب ، وأدواتهما ( المرجيحة – الطبلية – الترابيزة) وكل ده
30"
4,"مع الکہربا وکل جهاز لا يوصف من شدة التعذيب ، المعتقلين کلہم بدون ملابس وبیربطوا المعتقل من ايده
ورجله ، هناك تسمع الاهات والصريخ من كل مكان ، يحكي أنه سمع أحد المعتقلين أثناء التعذيب بيقول
يارب يرد عليه (كلب) منهم وهو بيفتح الدرج عمال تقول يارب أهو أنا حبسته في الدرج ، والتاني يقول وانت
ماشي على الصراط هتشوف فرعون تحت قوله متخافش انت سايب وراك رجاله ، ومرة يقول اعتبرني أبو
جہل انت بلال وأنا اعذبك وانت تقول أحد أحد طول الليل ، يقول أنهم اجبروا معتقل انه يجامع الحائط
بعد كهرباء مستمرة بعضوه الذكري ، يحكي انه اثناء تعذيبه ومن شدته قلت للضابط انا هعترف بكل
حاجة رد عليا قائلا : انا مش عاوزك تعترف انا بستمتع بتعذيبك ، ويقول ان في السجن هناك معتقل
اسمه أيوب 12 سنة قتلوا أبوه امامه بالناروهو من شمال سيناء ، وما عرفته انه خرج من العازولي قريبا
وما خفي كان اعظم وحسبي الله ونعم الوكيل"".
""الطبلية كرسي خشبي فيه عمود خشبي وفمي على الطبلية والعمود على ظهري والذراعين بيربطوا كل ذراع
في ايد ومع سحب القرص تسحب الذراعين للخلف زي الفرخة لما تقطعها من عند الصدر، تحس ان
القفص الصدري يبتقطع من بعضه وكل ده طبعا مع الكهربا من تحت من غير ملابس ، أما عن وصف
المرجيحة فہو بيربط حديدة تحت مفصل الركبة وايدك تتربط مع ركبتك ويتم تعليقك من الحديدة ، واذا
لم تملك الحديدة كويس تقطع من ايدك ورجلك مثلما تسلخ الذبيحة ، والكهربا بتجيلك من كل حتة ، أما
عن الترابيزة فهي تسمى عمليات الطرق مع الكهربا طبعًا ، وده اللي حصل معايا ولا اعلم ايه بيحصل مع
غيري من اجهزة على حد قول هذا المعتقل يحكي ان تعليقة الشباك دي من العساكر وهي تسليتهم اني
اتربط خلفي ويعلقوني على الشباك ، والسجايريطفوها في جسمنا ، ويرشدوك على طريقك بلسعة السجاير
من الدور الارضي لحد الدور التاني ، والضرب وحشي اكتب ايه تاني دي حاجات لا توصف وحسبي
الله
ونعم الوكيل.
""يحكي معتقل بسجن العقرب عن تجربته وشهادته عن هذا السجن المميت ، يقول أنه دخل السجن يوم
1/16 مساءًا . مع حفلة استقبال استمرت ساعة ونص من ضرب وشتيمة من عساكر الشرطة العسكرية ،
ويقول الحفلة ممكن تمتد الى 13 ساعة على حسب تصنيف المعتقل ، يقول أن اسمه السجن الحربي
بمعسكر الجلاء (قيادة مقر الجيش التاني) بالإسماعيلية والمعسكرده مساحته حوالي 200 فدان ، مدينة
متكاملة به لواءان جيش يعني تقريبا بقوة 20 الف ، ويصف انه في الاول تم حجزه بالنيابة العسكرية
بزنزانة صاج ارضها غرقانة بالبول اعزكم الله ، ونمت على بطانية وسط هذه القذارة ومفيش لا أكل ولا
مياه 3 ايام ، بعد ذلك ذهبت الى ش 500 متر تقريبا تقضيها في الضرب بالعصا والشوم والزحف من
عساكر الشرطة العسكرية ، ش عبارة عن فيلا مبنية على الطراز الانجليزي بناها الانجليز للمرشدين
التابعين لقناة السويس وتم ضمها للجيش التاني بعد التأميم ، وهناك شهود أنه تم التحقيق مع الشيخ
كشك بهذا السجن وانه مستمر من أيام الستينات ، يصف الراوي المسافة بين السجن ومبنى التحقيق
تقريبا بعربية الجيش 10 دقايق ، يقول أن التحقيق من 3 جهات (جهتان معلومتان وهم الأمن الوطني وهو
المسيطر والتاني المخابرات الحربية وجهة غير معلومة (المخابرات العامة) بحجة أنك خطر على الأمن القومي،
يقول أن المسيطر على التحقيقات هناك ضابط أمن دولة اسمه الحركي (سيف) وهو تقريبا الرجل الأول في
جهاز الامن الوطني المصري وكان الرجل الثاني بعد ضابط اسمه الحركي (جعفر) أيام المخلوع مبارك ، أما"
5,"رسائل
The Lost Symbol
وهذهال زیاد
بچہ ابوزقبل
زنانه ٢٠٤
حبسوا حسدی
ولكن روحي لم يستطع أحد
أن يسجنها، روحی حرة طليقة لا يكفيها
حن ولا سجود، ولا يستطيع حبها أي
نجاب ولم يخلقہ الطاعية الذي يقدر
أن يحبس روحي إلى الآن ..
لذا .. لم و لله اياس أبدا --"
6,"تقديم
في مايو 2014 أصدر مركز النديم للعلاج والتأهيل النفسي لضحايا العنف كتيبا يحمل بعضا من رسائل
المعتقلين يمكن الإطلاع عليه كاملا على الرابط التالي http://bit.ly/1vID2ww باللغة العربية وعلى
الرابط التالي http://bit.ly/1rgcvmg باللغة الإنجليزية.
وحيث ان الاعتقالات لم تتوقف وحيث انها لا زالت حدثا يوميا لا يتوقف وحيث أن في المعتقلات من
أمضى أكثر من عامين وراء القضبان وفي بعض الأحيان بدون تهمة أو محاكمة ومع ذلك لازال يكتب من
وراء القضبان أحيانا ليعبر عن الألم والشعور بالظلم، وأحيانا لينقل بعضا من أحوال السجون وفي
أحيان أخرى ليبث الأمل فيمن هم خارج الزنازين، فإننا ننشرهنا بعض تلك الرسائل إيمانا منا بأنها
تتجاوز كونها وسيلة تواصل المعتقلين والمعتقلات بالعالم الخارجي وإنما تشكل جزءا هاما من أدبيات
التأريخ لثورة يناير المجيدة التي كنا شاهدين عليها يوم اندلعت ونری تاریخها يزور ويحرف الآن بأيدي
من هم في السلطة أو من يرغبون في التقرب منها.
هذه الرسائل تشهد وتؤرخ لما كان يحدث في البلاد في فترة هي الأسوأ في تاريخ مصر الحديث من حيث
انتهاكات حقوق الانسان.
وللاطلاع على مزيد من الرسائل يمكن الاطلاع على رابط http://bit.ly/1resbfl حيث جمع الباحث
الحقوقي أحمد عاطف 624 رسالة من أدب السجون منذ يوم 25 يناير 2011 إلى 30 أكتوبر 2014"
7,"16 مارس
رسالة احمد الوليد الشال من سجن طره
ها قتلاش شد واستمالة تعمل كنه ..اهنا شوفنا اود أيام حياتنا
العساكر والباط فلمونا هم وسار علم است ايدينا وكهروان كل مكان
نی شناسی و موراتا و فضلا متخمين ثلات امام و متكلب خلی
وهي ما يحتاج الحمام ستلف الوضع ده
کا ملازم تقول الكلام اللي ما عاوزن والاكما عانوت أركناهانتهى
الموت إلى ما أنساه كل يوم وكل الكلام اللي قولما كان مكتوب
على عرف متعلق على مشب ادامناوکان ورم نقوله والدهارجعوانای
راولعلم والمعلومات اللي مالك المرض بيت معلم
جسے امنا وفتاه بهاره عسکری علان مالوش دعوة فاجہ
ما قتلناش حد واستحالة نعمل كده.. إحنا شوفنا أسود أيام حياتنا.. العساكر والضباط قلعونا هدومنا
وعلقونا من ايدينا وكهربونا في كل مكان في جسمنا حتى في عورا
راتنا وفضلنا متغميين تلات أيام ومتكلبشين
خلفي وحتى لما بنحتاج الحمام بندخل في الوضع ده.
كله لازم يقول الكلام اللي هما عاوزينه وإلا كنا هنموت أوكنا هانتمنى الموت زي ما أتمنيناه كل يوم وكل
الكلام اللي قولناه كان مكتوب على ورق متعلق على خشب أدامنا وكان لازم نقوله وإلا هايرجعوا تاني يبدأوا
معانا من الأول ومعلش اللي جايبلكم الورقة دي يا ريت تدوله 100 جنيه احنا وعدناه بيها ده عسكري
غلبان مالوش دعوة بحاجة.
***
15 مايو
رسائل من داخل سجن العزولي الحربي
""ابتداءا من دخولي السجن لحظة التشريفة وطبعا مش أي تشريفة ، عدد من عساكر الجيس بدأوا ضرب
لا يتوقف ، اللي مسؤول 3 عساكر يدعوا ( علي الدرديري ، أحمد جاد ، بهاء ؟؟؟) مع عدم وجود دورة مياه
بالزنزانة ، في الفجر يخرج 50 فرد من الزنزانة للحمام واللي يلحق عشان أخرك 5 دقايق انت و50 شخص.
كنت قبل ما ادخل الحمام بدعي في كل صلاة إني ادخل الحمام، وطبعًا بالليل والنهار يدخل عليك الشاويش
وقتها لازم يكون وشك للحيط ، وعادي انه يدخل ويضرب فينا في أي وقت. والأكل كل واحد رغيف مع
حاجات غريبة اساسا مش بتكفي حاجة وكده كده مش كلنا بناكل عشان الحمام. وطبعا أول ما تخرج من
الزنزانة بتكون متغمي مع الضرب من كل اللي تقابله من حيوانات ، ولو حد تعب تيجي تنادي عليه يتم
التعدي عليك بالسب ويقولك لما يموت نادي علينا. وفعلا على حد قول الراوي مات ناس كتير هناك أخرهم
كان الحاج شتيوي 75 سنة مات من التعذيب، وكان نفسه قبل ما يموت إنه يدخل الحمام والحمد لله انه"
8,"استريح. مش بتحسب انت اتعذبت هناك في اليوم إلا كم ساعة أوكمان لو شاويش له مزاج ويمسك حد
يبقى نهاره اسود وهنا رفض الرواي تكملة ما حدث من شدة ما رآه من أهوال .
في أعد العمليه متر بالر مولانا رضا
مشاد تری در مرا
المال
وات
نی انارش
داریم
عمره الترم امام و
دن
ولا مولا امام زمان های امید به ودمار شاه و کتابتول ان
در مواره اله الا الله يرفضوا وتتماشار ۲۴۰ ۲۱ اس کی اشی
لميول وامل المراسم وهي زنزان رضا المربع واضرات مهولة
عمر القفلی م
مة والمعابات مگر
م تریا ارتا هم گرم
ie
ه قند
بر
شور است
م بلید ملاتع الزمة والله
عاليات المجمع المهر ماه سال عمر .
تاحا للفع
التمور المارد عنان من
د
کل
الله
ارماند
ت
مع نرم اوره مد
ه استعلت الشباك ومنها المسارده عطيتهم إن أترط مان معلمون معاهد
وای پر رفوعا ما ما ما در دو طرف معه الى الدور الأرض
اسات والب اكتب استان در ما مات لا توصف وصد المعرض الكس
ے کے نتر ته میتوان به امامت تود أنواب
امر امه مر مر ستة ملك
يوم الاماره
الالام
نت لا تصف العمل القول أن
اهتمامات
اسالي الحرب الع
نمان
وامدا من الارد
ه مع رات
تم همه مال العرب
ای
ستمرا مقدر
عاد مرة مع مره
ات زبر نامی
ما الستينات ابنه الا
تبولة التسيس موت (ماه
انباری و بیمار
سولة - المسلم التمينات ف لند)
الرائعة
الت ارتان
در استان
الأساتوس
ولونيا الجيل الأول
ار (هنر) لم
ش از ما دون الم و عمل القارة
الخل معارك مار المنال الشرما (من قامونه ای گیری اور
والرس یک متر المره ولرم شال بت توست
""في البداية اخذتني قوة ملثمة من بيتي إلى قوات أمن ما ثم إلى العازولي حيث كنت متغميا وتم تكتيفي
أمامي وفضلوا موقفني في الحوش وكل اللي رايح وجاي من العساكر يضرب فيا، وبعد كده دخلت مكتب
القائد بالدور الأول وقايل انت هنا في جيش يا ابن .. ومش في شرطة، وابتدت التشريفة أكثر من
عسكري كانوا بيضربوا فيا بالحزام والبيادة وكمان الكهربا ، وفضلت كده حوالي ربع ساعة وأخر لما زهقت
شلت الغماية وشفت ضابط جيش والعساكر اللي كانت بتعذبني ( علي الدرديري ، أحمد جاد ، الشاويش
محمد) بعد كده طلعوني على زنزانة انفرادي في الدور التاني رقم 7 ونزلوا عليا ضرب التلات عساكر اللي
طلعوا معايا الزنزانة بالحزام والعصا، وبعد حوالي ساعة نادوا اسمي عشان التحقيق وركبت عربية جيش
وانا متغمي ومربوط خلفي ، رحنا على مكان يدعى ش مكان التحقيق أو بمعنى اصح مكان التعذيب والموت ،
ومفيش حركة إلا بالضرب وسب الدين واتحقق معايا اكثر من 5 ساعات في ش، طبعا كله شتيمة وسب
دین وضرب وكهربا ، أما عن دورة المياه بننزل 25 فرد للحمام 5 دقايق غير الاهانة والضرب وانت نازل وانت
طالع ، موقف حصلي كنت بكلم واحد عاوز منه بطانية لقيت العسكري (بهاء) نازل عليا ضرب انا
اکتر
من عشر دقايق بالعصا ، وبعد حوالي 15 يوم من الانفرادي اتنقلت لزنزانة كبيرة في المربع ، ضرب كل يوم
وفي يوم من الأيام كان الحاج شتيوي من العريش معانا في الزنزانة ، عمره أكثر من 70 عام وكان اتعذب في
العريش وضهره کله تعذيب ، وكان بيقولنا ان فيه ضابط نصراني هو اللي كان بيعذبه وحرقله دقنه ، وكنا
بنقول للعساكر عشان يدخلوه الحمام وكانوا الظلمة يرفضوا ، وتقريبا بتاريخ 2014/3/25 الساعة 3
عصرا استشهد الحاج شتيوي داخل الزنزانة وهي زنزانة رقم 11 في المربع واخدوا جثته الى جهة مجهولة"".
وهو
""العساكر اللي هناك شرطة عسكرية والضباط مخابرات عسكرية ، بتخرج من سجن العازولي وسط
عساكر الشرطة العسكرية في عربية جيش تقريبا عشر دقايق توصل (أوسخ) مكان في مصر وانت مغمي
العينين بس حاسس بكل اللي حواليك ، مبنى مش كبير دورين تقريبا تحس ان معظمه خشب والسلم
بتاعه خشب والدور الاول مكان التحقيق والتعذيب ، وأدواتهما ( المرجيحة – الطبلية – الترابيزة) وكل ده
30"
9,"مع الکہربا وکل جهاز لا يوصف من شدة التعذيب ، المعتقلين کلہم بدون ملابس وبیربطوا المعتقل من ايده
ورجله ، هناك تسمع الاهات والصريخ من كل مكان ، يحكي أنه سمع أحد المعتقلين أثناء التعذيب بيقول
يارب يرد عليه (كلب) منهم وهو بيفتح الدرج عمال تقول يارب أهو أنا حبسته في الدرج ، والتاني يقول وانت
ماشي على الصراط هتشوف فرعون تحت قوله متخافش انت سايب وراك رجاله ، ومرة يقول اعتبرني أبو
جہل انت بلال وأنا اعذبك وانت تقول أحد أحد طول الليل ، يقول أنهم اجبروا معتقل انه يجامع الحائط
بعد كهرباء مستمرة بعضوه الذكري ، يحكي انه اثناء تعذيبه ومن شدته قلت للضابط انا هعترف بكل
حاجة رد عليا قائلا : انا مش عاوزك تعترف انا بستمتع بتعذيبك ، ويقول ان في السجن هناك معتقل
اسمه أيوب 12 سنة قتلوا أبوه امامه بالناروهو من شمال سيناء ، وما عرفته انه خرج من العازولي قريبا
وما خفي كان اعظم وحسبي الله ونعم الوكيل"".
""الطبلية كرسي خشبي فيه عمود خشبي وفمي على الطبلية والعمود على ظهري والذراعين بيربطوا كل ذراع
في ايد ومع سحب القرص تسحب الذراعين للخلف زي الفرخة لما تقطعها من عند الصدر، تحس ان
القفص الصدري يبتقطع من بعضه وكل ده طبعا مع الكهربا من تحت من غير ملابس ، أما عن وصف
المرجيحة فہو بيربط حديدة تحت مفصل الركبة وايدك تتربط مع ركبتك ويتم تعليقك من الحديدة ، واذا
لم تملك الحديدة كويس تقطع من ايدك ورجلك مثلما تسلخ الذبيحة ، والكهربا بتجيلك من كل حتة ، أما
عن الترابيزة فهي تسمى عمليات الطرق مع الكهربا طبعًا ، وده اللي حصل معايا ولا اعلم ايه بيحصل مع
غيري من اجهزة على حد قول هذا المعتقل يحكي ان تعليقة الشباك دي من العساكر وهي تسليتهم اني
اتربط خلفي ويعلقوني على الشباك ، والسجايريطفوها في جسمنا ، ويرشدوك على طريقك بلسعة السجاير
من الدور الارضي لحد الدور التاني ، والضرب وحشي اكتب ايه تاني دي حاجات لا توصف وحسبي
الله
ونعم الوكيل.
""يحكي معتقل بسجن العقرب عن تجربته وشهادته عن هذا السجن المميت ، يقول أنه دخل السجن يوم
1/16 مساءًا . مع حفلة استقبال استمرت ساعة ونص من ضرب وشتيمة من عساكر الشرطة العسكرية ،
ويقول الحفلة ممكن تمتد الى 13 ساعة على حسب تصنيف المعتقل ، يقول أن اسمه السجن الحربي
بمعسكر الجلاء (قيادة مقر الجيش التاني) بالإسماعيلية والمعسكرده مساحته حوالي 200 فدان ، مدينة
متكاملة به لواءان جيش يعني تقريبا بقوة 20 الف ، ويصف انه في الاول تم حجزه بالنيابة العسكرية
بزنزانة صاج ارضها غرقانة بالبول اعزكم الله ، ونمت على بطانية وسط هذه القذارة ومفيش لا أكل ولا
مياه 3 ايام ، بعد ذلك ذهبت الى ش 500 متر تقريبا تقضيها في الضرب بالعصا والشوم والزحف من
عساكر الشرطة العسكرية ، ش عبارة عن فيلا مبنية على الطراز الانجليزي بناها الانجليز للمرشدين
التابعين لقناة السويس وتم ضمها للجيش التاني بعد التأميم ، وهناك شهود أنه تم التحقيق مع الشيخ
كشك بهذا السجن وانه مستمر من أيام الستينات ، يصف الراوي المسافة بين السجن ومبنى التحقيق
تقريبا بعربية الجيش 10 دقايق ، يقول أن التحقيق من 3 جهات (جهتان معلومتان وهم الأمن الوطني وهو
المسيطر والتاني المخابرات الحربية وجهة غير معلومة (المخابرات العامة) بحجة أنك خطر على الأمن القومي،
يقول أن المسيطر على التحقيقات هناك ضابط أمن دولة اسمه الحركي (سيف) وهو تقريبا الرجل الأول في
جهاز الامن الوطني المصري وكان الرجل الثاني بعد ضابط اسمه الحركي (جعفر) أيام المخلوع مبارك ، أما"
