0,"ابو النور
سم پر اگر ضد الرحيم
الحرير واهب النعم ـ رافع النقم ـ كاشف الظلم .. الصورة
والسلام علي هادي الأمم سو على اله وصحب
العزائم والرحم عبر
والأخ الحبيب الرسالي
حبه أرباب
ب ارسالي سابو النور من الاسر
فك الله
بئر السبع ومصر
ب
ما نخسته نلتقي بعد طول الفراق سلند مهرت هذا اليوم
بقى لي
م لكن الفرجتة ناقصة
ا في المسائل امو
اموة اصال
حمد
نا لتك
سہ
اسبوعين على
سلام
الحاد الى
سك
محاولته الاتصال
ترة العين راحة القلب
عنون
الاحباب
ر
.
مغادرة إلى
""
سلام
وخاصتر نظار
حباب آل ابوسرور محسور ناصر
وسأحاول
و
ترمي
جریب
اسلام عار إلى
ن
ولیس دربه و رزور صلاح
تقادهم قبل الامزاج
t
مندروں
يدار
السلام بيم ورحمة الله وبركاته
افوك الما
۱۳
sy99;
ہر سو"
1,"حبي
مشيئة
ومسام الوسيم
ياز له أهم شي خلصنا المدرسه اكن اتهم على الواحد بني ويه الله فالت
بدو انه اول و رانت بير لإنهاد العام الدراسي، لوطين العامة للجهد المبدول ولماما ولمن
اسل في الدراسة بالشهر لام هيفا ، وصلى أما أن النير تمام برنا راس
مكن
ان من است اردن العربيه لحفظها في العطلة الك ولفهد ولي
ير باسل كمان
ألف باء کادشاء ما أحلى هذه مار
الن... أرباء بغل ماء تمساح زعلان
ثاء تراجم مل جاي... حمل في البستان
خان ... دون وال... الو زال ... زمر المصف
زيل
راء سريع زای... زهر سنين مثل النور
شين اصاد اضار طار طال ... بقرع في أرجاء
طاء ... طي عين على
عين ... غم روم مطر
مار فان فان ام لومه المربات
سیم جدانون، نورا
هاء على قرب الياء
که من باسل متلت بالأمس الات زبابات ایشان انان اور ذکر
منان کین کرم زرد )
باسل : الانان كانت امام المرآن والذكر أمام الطعام هوو
كان جما على ظهر هماره عندما مركب القطار.. ولما جاء السابع
إعطاء أجره على الحاسب
سأله نائم وانت؟ قال ما كما ترى لاريب القطار وهو
اسئله للحل بمساعدة ماما وممكن فالو بعض - مع مريم
ا. لماذا تم الحيوانات (البرمائية) بهذا الم؟
عما اسم اول اور حصار نزل على مع القمر ؟
3، من اخترع الطباعة، وفي أي عام
1331 و
f?
/٢٦١٢٦٤
يزي وسام ابني الغالي كن
ومناسك استرال
1/blo2
(1)
سجن عسقلات
هناك من هو أكثر من
همید و در رد
مظهر عفظه وقبله على
والا 'P"
2,"27 / 12 / 2018
a
حبيبتي اين
کل عام
أتمنى أن تحتفلي مع كل العائلة
المجد في العلا وعلى الأرض السلام
رات الجميع أن في
بعيد الميلاد المجيد كما في كل سنة
وفي السنا سما المرة الاحتفال بالعيد بحب ألا ينأثر بوجوري في السمنة
هذا أسلي رهذه أمنيتي ومن المؤكد أننا
أمنيتي من المؤكد أننا سختش سوية في عيد الميلاد
أتمنى أن تحتفلوا وش هوا رأن توترا في
رتر ر أن توفر را بي کی کیر من النبات
نعمك ليه
ليم
انا ..
رسوية على
مل
إنك
راسات سيأتي يوم
أنت سعي نيل نهار لا تناثيني راكتب لك الكثير من الأفكار والخواطر
أسريل نك بيفها من آمن أن تبحبك اتلتی استانك
استعيش رقائقي وساعاتي كرها .. ولا بنلت سن سيء لا غني حتى غفر
رأنا أرتبها ر أعده ها کری أسميها أرتبها في أرشيني اليومين الذي لا يتقير
فهذه رکابھی انتظار المد الصباحي رتلك سويعات الرياضة الصباحية وتعرف ايهات
وهذه رقائق الرش ، أما هذه فهي صديقات القراءة سبقها أو يتلوها أو يملك
سرينات الكتابة مهداه دکائت سائیں الخلود للنوم وهي الأطول والأثقل وكلها تتوزع
على مكاليف إثنين الثورة سامنا الصغيرة أد البريش تحتي في غرفتنا الصغيرة
لا فرق بين رتبة الرش أن رقيقة القورة ربينا سريعة الثورة أرسويعة الراش
تختلط الدقائق والساعات نما بعضها وتتفاعل فيما بينها ننتوارن مثل الأواني المستطرية
لات من رقبته الحزن ورقيقة الفرح بين ساعة القراءة أرساعة الانتظار
کنها تحمل ذات الوزن النوعين ، فقط رقائق الزيارة الخميس أربعون تكون تكون سريعة
رشهر با من بين أنا ماني مثل موج البحر پریا عائدا من الشاطئ الرملي نحو عمقه
اللانهاي وسرعان ما يتبعها رقائق وسويعات بطيئة من التأمل والانزراء
تعادل الرقائق والساعات في رتابة يعتادها الأمير ولا يفتارها ، يأنفها ریتم رد عليها
ثم ما يلبث يكبت ما في صدره عليها ثم ينفث کل داين في ثورة لا تعترف برفرات
الزمن من رقائق وساعات رأيام وأنه يمتع نشته روات جديدة بشر
زمنه السحابي الجديد يرتضي تلك التي تعطيه الشعور بأن الوقت م بسرعة ألث
و تخلق عنده الرحم باعتياد حياته العمانية الزمنية الجديده - الرابط العطري بين
المكان في السجية يميرها وحدة واحدة متماهية لا تنفع
حتی مکند
أن تطلق عليها الزمكانس الر سكان الجني يصلح لوصف الحياة رافلان .. تهوية
لزمان
("
3,"2
صحيح
الزمان رائما في المكان العلن
المكان ضيت و محدود الأبعاد ويطبق شد کل
الجهات والخيذ المتاح للأمير داخله أثل اتساعا وأشد ضيا وایزمنه المرتبط بالمكان
أثر توسف
يندر أن سوعا وتكونا رز هوا ..لا تو اس مرح فيه ولا فصول بلیغ الر مکان زيادي
الطابع إلى أبعد الحدود ولا ينعشق الأسير من طغيانا الكباري العام العام على أننانه
لا باحيان ولكن الميان هو أيضا بسلامة أدرات النقل الواعي تستدعيه مسكر
تريد تر بتواری أيضا ريصيبه شيء من الرحمن أريعتريه شيء من المرأ..
تكتشف أنك بخاصة إلى تخفيره وحثه خبر استدعاء أبطال من الأساطير شين
أن ليلة وليلة تخرج منه تمتم النشر المكتوبة يقول لك "" شبيك
مارد
لبيك أدرى شيء أيط منزلك مثل باط الريم تعتليه فيطير بك
خارج حدود هذا
هذا المكان المرشك رسام ما
على صلة بخبايا الثلب
ميأخذك إلى أسكنه وأرضه نفت في ثنايا الشل سرت في سماء الروح للاعر
نك إلا محاطا بالأطفال سلمان اليوم وأطفال الأسه وأطفال أل أس فہر
(الباط) تادر على اقترات مدير الرمان والمكان وهو بيرن ليك أن أصعب نوع
من العرسان في اسكانك هنا هو انتطاعتك اللي من الأطفال الية في الحياه
أكرها الله لا تصيب رمو برد سری
تعلتك برم
تبعد كل دورة طيرات
حتى أنك تذكر أن تعلميهم
ی
لست كافه إلى
سلام
ى مكان آخر يعيدك إليه سيك على الباط
ملا موك لازم بلاعبوك وتلاعبهم وتفكر انك
استئنان من أم شمل ذلك في اسكانك اسجني أي شيء من الأشيا السيطة
التي تعمل ببطن
الحياة العارية جلب لك بالاليع لوحدة زمكانية متكامل
سل الغرفة عصشور وار على سلم قريب أو طائرة مدنية أتلقته مطار
ريب قبل دکانت المحتها في السماء عظات میں أن تتوارى في الأنف رائعة
شرات من القناع الأففر استطاعت أن تنمو في شق براي ضيفني آن
الساحة الباطونية عند الجدار الشاهق نكتة وريدة تنامو بدأت من
التحط راحتقاء انكت من مكانك الجديد
قدما تحمله رسانة جديدة
تلك لك
البريد الميت سبأ مفرح أو معانا يحمله من الأسماء في الزيارة
موع جديد من الحلوى الشرقية يصنفه أم الأسرى النروئے بہہ بر انتطاع
طویل به رمان بيمارة ينثه با شجاهدك لاعب الزد الذي تجلس بجانبه في
الفورة وقد توقفت عن الترقبہ سنن نره .. رئر بالماري
ربع
ستلهاما
بیہ"
4,"عارضا ضيا ته درنا ایمان من الكاشي، أحنة أحد يعرك بتلبي دعوته
راما
ين يوسعك أن تعتذر أن شللا في الاستثمارية لدعوته مما كانت
مشاغلك الزمانية الله الأولوية دائما يأفتك إلى كل زمکان تنكر
سا عدا الحلم فهو لا يستطيع أن يأخذك إلى علم استعفى عليك
في المنام
ولا تنكر أن المارد تو طرح نہ
التحكم يستطع ذلك
فالخيال والعلم في قطيفة إنها وإن تشابها في المعنى نهما متنا تضان
تلفة لك
على أحلامك ولا درب توري .. شفيع مثلا
فيه
فی انجاز
أن تعلم بأيك أو أبيك أر أحبائك الدين رحلا.. فقط بوسعك أن تسمى
زير أن كريم ما شئت
أن يأسك الحلم بهم لا نکند طعاما
عه
التي
ورها بدون مدار را تنع بما ينيمه زمكانك الغريب من شحة مرية
سريه رشت كبلات الفرد بود انطفاء مصدره رامس ارسٹ
ختران مری ازته المصافير بعيد رفیع وعلم أنك أن يشم رائ الأمية
عبر الزجاج الفاصل واجعل حواسك كلها تحتفي حياتك السكانية السنية في
عشر المتره
لا ظل ولن تثني به ... واحة في هذاة الحمراء
... عيشا بحث منزلك
اليشوع
الصور المحاط بشجيرات العليق المسلمة من كل الجهات مربع
الطفولة البريئة كشه العذاري ... وهم ذيك الشعور الجميل من أفكار الصبا
تطاول السماء عند شجاعة التضحية من أجن الحياة. ألم تستجب دائما
درسا لذاك النداء المدري في کل ذرة من قلبك وعقلك منذ الصفر.. إيه
ابه هو ذاك الصوت الذي لامتك في کل دروب الحياة مثل موسیقی ساحرة تفرك
وتنتشي بع .. مر زات اللجنة عرافته كل الالات وفي كل المطارح هو الإيقاع
سے .. ايقاع رومك الذي لا ترتضي غيره. وكل ما يا ران مہر نشان شاز
پیاز
شار أباه عمارات المائية وتشمئز منه رياك... ملحات رومك في
فحات رمك في النظمات .. ماءها على سجيزع مايا تعرف
صرى الوجود المني على ذاتك مستدعيا كل أوجاع الدنيا ترك فيش
موضع من صبرك المتعب ولا تجعل كل هموم الأرض همك الومي نت
وحيدا في بيادر القمح هذه ... لن رصيد على هذه الدقة ولا يحارب هذا
الشراع... فلا تنحني على زاتك سوجعا لا تعرف رسمة حضرت والا رسمة قهد
الدران
.7
2
4"
5,"O
ولادسے مس من الفرح تحشيع مقلت ك إلى حين
رير يطول الوقت ولا کی . وترفين عينيك للأبد لا يحين
رسمة الفرح شدعا کرنا الآن .. في ست سه
مي ست عشبها مقلتاك الشعر بها
رتره
كل أهالي النص الرحلتهاب لتنه ما استفت إليه بين
وران مراسك وذاك إلى صبر أي يوم يطفى نيه نوح می کن
المواجع شرح بالحرية التي تشتهيها .. حرية البن الجارمة قردار القا مزه ربرها
مات يقضون معه ماسكات السمات الحرية المره بأن تلام
منا شاكهم حياتهم هنا شيب معهم تفاصيل الآن القصص المنايا التي تحول
ای مایه رواية أمام عينيك
حبيني است
ما
ع
أريد أن تكوني تر استمتعت بقراءة ما كنت ... أن أسمع راين تريبا
أنت في مخيلتي دائما ولا شید سه من حضورك الطاعني سکسی ابدأ بالكتابة أنك
تطلبينه علي
وعلى قلمي وأوراني من عل رافالك
وا حالت ترئين رافاني اتألك
وارات رد نفلكسند سلام وجهك مان رفعة أخرى
تعلم ألا تنتظر شيئا هنا .. بدقائق الانتظار في الأطول وهي الأعمى رفي
الأسد تاره مارها تنتظر لانتظر رسالة ... نقره ولا
الاسفار هو وليد التوقعات نتعلم أن تحتضن توقعاتك
ستقر ثناء الأمة
أن ساما متى تثلاثه .. الانتظار برنو مستقبل فلا تفكر بالمسير.. أنظر
فقط في الماضي الماضي القريب رئيس البعيد الرسالة التي نهدت بدل تلك التي ستأتي
الزيارة التي کاشت مکان تلك التي ستكونا لماء الأمل الأخير اليس ذلك المنتظر
الماضي في كل تفاصيله فرد الذي کانا هو مصدر حاضرك الذي سيع
بلمح البصر لينضم إليه تعلم أن ترى في حاطرك جزءا من الماضي عندما تريض زسکاند
وقبله ألينا هارئا يمديك رأسه لتراميه تيريض عن أوراسك أري هن
کا لطفل الصغير وتسلمان سوية لقيلولة طافية . فقط اعتبه ألا تقيس وأنت
على بالي الريم ساعة إلى الهارية
""P
.*
A
A
انا ربك بكل أما سيبي رسا بیجوں بخاطري في هذا البعد الذي فرض علينا
خرب ضارة نانعة ولا تكرهوا شيئا وهو خير لكم"
6,"6
ما بالك لا تنكر بالمستقبل لا ننكر بما بعد
اينه كدراتك في التخليد
لأب المرور ورنه جون مادونا السحاب ؟ نہیں رهنت رنا كلت انبارك
في التخطيط لمشاريخ لا صديد لها؟ هل نجحوا في مع القبور على أفلامك أيضاً جم است
ترافقك وزارت شاصيله ونايت به اين منا ما ينعله أمر مل مربول
لأمر الواقع في مجادعة للتن ويحمة رطأته ? من الانشغال بتفاصيل الحياة اليومية يساعد
من مرور الرنت به فأنت سى ولا اله الزيم يس فلك
ة آخر حتى الماضي لا يستطيع أن يشكل إلى افكارك شت شاه اسمائك
..
ضا عما صث وكيف ولمارا انقت بك الأمور إلى ما وترفض أن تفکر برم باسم محمد
ملل مانصل وسلوك * معللا زيك بأنك لا تنظر إلى الماضي .. شما كانا كان
لا يبيد الانتقال بهذه الأسئة فهل هما نعلقت أبواب الماضي وصيت به النبيه ؟
تحدث شك منه الشخصية الجريه ونرادتها وخصوصيتها التجاع تکنه لم
تمرید
ريشها کاهي حتى نوعش مانك رات رات .. أن تست صار الان
ماشات الگ سال قبل حياتها رساميلا أنها وتحدياتها أم القيود يا الستة الرملي ران
مشي في جلدك عمرية اليوسله واعصابر له بنت بین اعمالي -
عم
أنتم تكتر السحية ما تم من هم هرازی
رہی
صيني سن
7
?
منه معادلات إضائية تقول شيء كانا يورثن
ماذا تبقى من مخلفات الكريم ... توري بك الأيام وتودي بع... في دروب غم تطه
ناصبة العمر الذي ينتظر أن ترتاده کینما تشاء .. شرورا أرعان ما
حث الخطى أرتبطهها تائها أو عالما لکل
أن عالما بكل ما لك نحو الشاطئ
مالك وانا في البعد الغريب ..
ماذا ثبتي لكن ملح ابھے على شفاه ايجار السور القديم . شرب للمرحة
بين أصاب
أنك أمسكت بها بنك أن قلبك أد
ورماك عان
کیا
مت
ل
بأهدابك المنسدلة على کو اس شرح مجول لا يفار فك نال منعطف وراء
سامة رأت أي .. ماذا تبقى في جمبك من أعلام نظر أن علم من
وند
است منتظر أن تلبها وأنت لاعدلها منترا تبعتها من هذا المهم المران
را تحدي شفا الجمل السحرية ولا الأمنيات هو
فريق
من أجل الحياة عند ہے میں ما ثبت عنده من ذرات الم...هل مبنی بر منع
سحب رسمت الحياة رانت نذري من اللون تلك الأيام والدقائق
المرح
لكك"
7,"27 / 12 / 2018
a
حبيبتي اين
کل عام
أتمنى أن تحتفلي مع كل العائلة
المجد في العلا وعلى الأرض السلام
رات الجميع أن في
بعيد الميلاد المجيد كما في كل سنة
وفي السنا سما المرة الاحتفال بالعيد بحب ألا ينأثر بوجوري في السمنة
هذا أسلي رهذه أمنيتي ومن المؤكد أننا
أمنيتي من المؤكد أننا سختش سوية في عيد الميلاد
أتمنى أن تحتفلوا وش هوا رأن توترا في
رتر ر أن توفر را بي کی کیر من النبات
نعمك ليه
ليم
انا ..
رسوية على
مل
إنك
راسات سيأتي يوم
أنت سعي نيل نهار لا تناثيني راكتب لك الكثير من الأفكار والخواطر
أسريل نك بيفها من آمن أن تبحبك اتلتی استانك
استعيش رقائقي وساعاتي كرها .. ولا بنلت سن سيء لا غني حتى غفر
رأنا أرتبها ر أعده ها کری أسميها أرتبها في أرشيني اليومين الذي لا يتقير
فهذه رکابھی انتظار المد الصباحي رتلك سويعات الرياضة الصباحية وتعرف ايهات
وهذه رقائق الرش ، أما هذه فهي صديقات القراءة سبقها أو يتلوها أو يملك
سرينات الكتابة مهداه دکائت سائیں الخلود للنوم وهي الأطول والأثقل وكلها تتوزع
على مكاليف إثنين الثورة سامنا الصغيرة أد البريش تحتي في غرفتنا الصغيرة
لا فرق بين رتبة الرش أن رقيقة القورة ربينا سريعة الثورة أرسويعة الراش
تختلط الدقائق والساعات نما بعضها وتتفاعل فيما بينها ننتوارن مثل الأواني المستطرية
لات من رقبته الحزن ورقيقة الفرح بين ساعة القراءة أرساعة الانتظار
کنها تحمل ذات الوزن النوعين ، فقط رقائق الزيارة الخميس أربعون تكون تكون سريعة
رشهر با من بين أنا ماني مثل موج البحر پریا عائدا من الشاطئ الرملي نحو عمقه
اللانهاي وسرعان ما يتبعها رقائق وسويعات بطيئة من التأمل والانزراء
تعادل الرقائق والساعات في رتابة يعتادها الأمير ولا يفتارها ، يأنفها ریتم رد عليها
ثم ما يلبث يكبت ما في صدره عليها ثم ينفث کل داين في ثورة لا تعترف برفرات
الزمن من رقائق وساعات رأيام وأنه يمتع نشته روات جديدة بشر
زمنه السحابي الجديد يرتضي تلك التي تعطيه الشعور بأن الوقت م بسرعة ألث
و تخلق عنده الرحم باعتياد حياته العمانية الزمنية الجديده - الرابط العطري بين
المكان في السجية يميرها وحدة واحدة متماهية لا تنفع
حتی مکند
أن تطلق عليها الزمكانس الر سكان الجني يصلح لوصف الحياة رافلان .. تهوية
لزمان
("
8,"2
صحيح
الزمان رائما في المكان العلن
المكان ضيت و محدود الأبعاد ويطبق شد کل
الجهات والخيذ المتاح للأمير داخله أثل اتساعا وأشد ضيا وایزمنه المرتبط بالمكان
أثر توسف
يندر أن سوعا وتكونا رز هوا ..لا تو اس مرح فيه ولا فصول بلیغ الر مکان زيادي
الطابع إلى أبعد الحدود ولا ينعشق الأسير من طغيانا الكباري العام العام على أننانه
لا باحيان ولكن الميان هو أيضا بسلامة أدرات النقل الواعي تستدعيه مسكر
تريد تر بتواری أيضا ريصيبه شيء من الرحمن أريعتريه شيء من المرأ..
تكتشف أنك بخاصة إلى تخفيره وحثه خبر استدعاء أبطال من الأساطير شين
أن ليلة وليلة تخرج منه تمتم النشر المكتوبة يقول لك "" شبيك
مارد
لبيك أدرى شيء أيط منزلك مثل باط الريم تعتليه فيطير بك
خارج حدود هذا
هذا المكان المرشك رسام ما
على صلة بخبايا الثلب
ميأخذك إلى أسكنه وأرضه نفت في ثنايا الشل سرت في سماء الروح للاعر
نك إلا محاطا بالأطفال سلمان اليوم وأطفال الأسه وأطفال أل أس فہر
(الباط) تادر على اقترات مدير الرمان والمكان وهو بيرن ليك أن أصعب نوع
من العرسان في اسكانك هنا هو انتطاعتك اللي من الأطفال الية في الحياه
أكرها الله لا تصيب رمو برد سری
تعلتك برم
تبعد كل دورة طيرات
حتى أنك تذكر أن تعلميهم
ی
لست كافه إلى
سلام
ى مكان آخر يعيدك إليه سيك على الباط
ملا موك لازم بلاعبوك وتلاعبهم وتفكر انك
استئنان من أم شمل ذلك في اسكانك اسجني أي شيء من الأشيا السيطة
التي تعمل ببطن
الحياة العارية جلب لك بالاليع لوحدة زمكانية متكامل
سل الغرفة عصشور وار على سلم قريب أو طائرة مدنية أتلقته مطار
ريب قبل دکانت المحتها في السماء عظات میں أن تتوارى في الأنف رائعة
شرات من القناع الأففر استطاعت أن تنمو في شق براي ضيفني آن
الساحة الباطونية عند الجدار الشاهق نكتة وريدة تنامو بدأت من
التحط راحتقاء انكت من مكانك الجديد
قدما تحمله رسانة جديدة
تلك لك
البريد الميت سبأ مفرح أو معانا يحمله من الأسماء في الزيارة
موع جديد من الحلوى الشرقية يصنفه أم الأسرى النروئے بہہ بر انتطاع
طویل به رمان بيمارة ينثه با شجاهدك لاعب الزد الذي تجلس بجانبه في
الفورة وقد توقفت عن الترقبہ سنن نره .. رئر بالماري
ربع
ستلهاما
بیہ"
9,"عارضا ضيا ته درنا ایمان من الكاشي، أحنة أحد يعرك بتلبي دعوته
راما
ين يوسعك أن تعتذر أن شللا في الاستثمارية لدعوته مما كانت
مشاغلك الزمانية الله الأولوية دائما يأفتك إلى كل زمکان تنكر
سا عدا الحلم فهو لا يستطيع أن يأخذك إلى علم استعفى عليك
في المنام
ولا تنكر أن المارد تو طرح نہ
التحكم يستطع ذلك
فالخيال والعلم في قطيفة إنها وإن تشابها في المعنى نهما متنا تضان
تلفة لك
على أحلامك ولا درب توري .. شفيع مثلا
فيه
فی انجاز
أن تعلم بأيك أو أبيك أر أحبائك الدين رحلا.. فقط بوسعك أن تسمى
زير أن كريم ما شئت
أن يأسك الحلم بهم لا نکند طعاما
عه
التي
ورها بدون مدار را تنع بما ينيمه زمكانك الغريب من شحة مرية
سريه رشت كبلات الفرد بود انطفاء مصدره رامس ارسٹ
ختران مری ازته المصافير بعيد رفیع وعلم أنك أن يشم رائ الأمية
عبر الزجاج الفاصل واجعل حواسك كلها تحتفي حياتك السكانية السنية في
عشر المتره
لا ظل ولن تثني به ... واحة في هذاة الحمراء
... عيشا بحث منزلك
اليشوع
الصور المحاط بشجيرات العليق المسلمة من كل الجهات مربع
الطفولة البريئة كشه العذاري ... وهم ذيك الشعور الجميل من أفكار الصبا
تطاول السماء عند شجاعة التضحية من أجن الحياة. ألم تستجب دائما
درسا لذاك النداء المدري في کل ذرة من قلبك وعقلك منذ الصفر.. إيه
ابه هو ذاك الصوت الذي لامتك في کل دروب الحياة مثل موسیقی ساحرة تفرك
وتنتشي بع .. مر زات اللجنة عرافته كل الالات وفي كل المطارح هو الإيقاع
سے .. ايقاع رومك الذي لا ترتضي غيره. وكل ما يا ران مہر نشان شاز
پیاز
شار أباه عمارات المائية وتشمئز منه رياك... ملحات رومك في
فحات رمك في النظمات .. ماءها على سجيزع مايا تعرف
صرى الوجود المني على ذاتك مستدعيا كل أوجاع الدنيا ترك فيش
موضع من صبرك المتعب ولا تجعل كل هموم الأرض همك الومي نت
وحيدا في بيادر القمح هذه ... لن رصيد على هذه الدقة ولا يحارب هذا
الشراع... فلا تنحني على زاتك سوجعا لا تعرف رسمة حضرت والا رسمة قهد
الدران
.7
2
4"
